counter,region,service,endpoint, rps
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,a,a@POST@/spreada,0
0,us-south-1,a,a@POST@/spreada,0
0,us-south-1,frontend,frontend@GET@/start,0
0,us-west-1,a,a@POST@/spreada,0
0,us-west-1,frontend,frontend@GET@/start,0
0,us-central-1,frontend,frontend@GET@/start,0
0,us-central-1,a,a@POST@/spreada,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,a,a@POST@/spreada,0
0,us-south-1,a,a@POST@/spreada,0
0,us-south-1,frontend,frontend@GET@/start,0
0,us-west-1,a,a@POST@/spreada,0
0,us-west-1,frontend,frontend@GET@/start,0
0,us-central-1,frontend,frontend@GET@/start,0
0,us-central-1,a,a@POST@/spreada,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,a,a@POST@/spreada,0
0,us-south-1,a,a@POST@/spreada,0
0,us-south-1,frontend,frontend@GET@/start,0
0,us-west-1,a,a@POST@/spreada,0
0,us-west-1,frontend,frontend@GET@/start,0
0,us-central-1,frontend,frontend@GET@/start,0
0,us-central-1,a,a@POST@/spreada,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,a,a@POST@/spreada,0
0,us-south-1,a,a@POST@/spreada,0
0,us-south-1,frontend,frontend@GET@/start,0
0,us-west-1,a,a@POST@/spreada,0
0,us-west-1,frontend,frontend@GET@/start,0
0,us-central-1,frontend,frontend@GET@/start,0
0,us-central-1,a,a@POST@/spreada,0
0,us-east-1,frontend,frontend@GET@/start,0
0,us-east-1,a,a@POST@/spreada,0
0,us-south-1,a,a@POST@/spreada,0
0,us-south-1,frontend,frontend@GET@/start,0
0,us-west-1,a,a@POST@/spreada,0
0,us-west-1,frontend,frontend@GET@/start,36
0,us-central-1,frontend,frontend@GET@/start,0
0,us-central-1,a,a@POST@/spreada,0
1,us-east-1,frontend,frontend@GET@/start,0
1,us-east-1,a,a@POST@/spreada,0
1,us-south-1,a,a@POST@/spreada,0
1,us-south-1,frontend,frontend@GET@/start,0
1,us-west-1,a,a@POST@/spreada,17
1,us-west-1,frontend,frontend@GET@/start,213
1,us-central-1,frontend,frontend@GET@/start,0
1,us-central-1,a,a@POST@/spreada,0
2,us-east-1,frontend,frontend@GET@/start,0
2,us-east-1,a,a@POST@/spreada,0
2,us-south-1,a,a@POST@/spreada,95
2,us-south-1,frontend,frontend@GET@/start,189
2,us-west-1,a,a@POST@/spreada,184
2,us-west-1,frontend,frontend@GET@/start,306
2,us-central-1,frontend,frontend@GET@/start,20
