Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-84898b74f6-8cb46,server,2,195
default,adservice-us-central-1-84898b74f6-8cb46,istio-proxy,3,82
default,adservice-us-central-1-84898b74f6-hghcw,server,1,195
default,adservice-us-central-1-84898b74f6-hghcw,istio-proxy,3,80
default,adservice-us-central-1-84898b74f6-hwwmh,server,1,197
default,adservice-us-central-1-84898b74f6-hwwmh,istio-proxy,3,80
default,adservice-us-east-1-5b77f9c6b-cmrnt,server,2,201
default,adservice-us-east-1-5b77f9c6b-cmrnt,istio-proxy,3,83
default,adservice-us-east-1-5b77f9c6b-p6nqx,server,1,196
default,adservice-us-east-1-5b77f9c6b-p6nqx,istio-proxy,3,81
default,adservice-us-east-1-5b77f9c6b-rdktr,server,1,199
default,adservice-us-east-1-5b77f9c6b-rdktr,istio-proxy,3,80
default,adservice-us-south-1-59b7b8c988-48hx9,server,2,198
default,adservice-us-south-1-59b7b8c988-48hx9,istio-proxy,3,79
default,adservice-us-south-1-59b7b8c988-cxfwn,server,1,199
default,adservice-us-south-1-59b7b8c988-cxfwn,istio-proxy,3,80
default,adservice-us-south-1-59b7b8c988-sqzst,server,2,201
default,adservice-us-south-1-59b7b8c988-sqzst,istio-proxy,3,81
default,adservice-us-west-1-6846d6d7f4-2jbb4,server,0,195
default,adservice-us-west-1-6846d6d7f4-2jbb4,istio-proxy,3,80
default,adservice-us-west-1-6846d6d7f4-gczg9,server,2,196
default,adservice-us-west-1-6846d6d7f4-gczg9,istio-proxy,4,80
default,adservice-us-west-1-6846d6d7f4-gztc4,server,2,195
default,adservice-us-west-1-6846d6d7f4-gztc4,istio-proxy,4,79
default,cartservice-us-central-1-84b598dc8d-98tqq,server,95,51
default,cartservice-us-central-1-84b598dc8d-98tqq,istio-proxy,57,83
default,cartservice-us-central-1-84b598dc8d-mmpq9,server,103,51
default,cartservice-us-central-1-84b598dc8d-mmpq9,istio-proxy,68,82
default,cartservice-us-central-1-84b598dc8d-tqs7b,server,93,52
default,cartservice-us-central-1-84b598dc8d-tqs7b,istio-proxy,64,81
default,cartservice-us-east-1-64946c849b-b6hp5,server,334,55
default,cartservice-us-east-1-64946c849b-b6hp5,istio-proxy,108,82
default,cartservice-us-east-1-64946c849b-mdsbs,server,177,60
default,cartservice-us-east-1-64946c849b-mdsbs,istio-proxy,120,81
default,cartservice-us-east-1-64946c849b-xz8v2,server,218,63
default,cartservice-us-east-1-64946c849b-xz8v2,istio-proxy,126,81
default,cartservice-us-south-1-6f676df548-7sbct,server,326,71
default,cartservice-us-south-1-6f676df548-7sbct,istio-proxy,229,81
default,cartservice-us-south-1-6f676df548-pzz4p,server,333,66
default,cartservice-us-south-1-6f676df548-pzz4p,istio-proxy,209,81
default,cartservice-us-south-1-6f676df548-q98rd,server,329,71
default,cartservice-us-south-1-6f676df548-q98rd,istio-proxy,179,84
default,cartservice-us-west-1-66bdf4dbc6-c9s22,server,586,95
default,cartservice-us-west-1-66bdf4dbc6-c9s22,istio-proxy,491,85
default,cartservice-us-west-1-66bdf4dbc6-n2nb5,server,611,95
default,cartservice-us-west-1-66bdf4dbc6-n2nb5,istio-proxy,514,83
default,cartservice-us-west-1-66bdf4dbc6-z4cl5,server,626,97
default,cartservice-us-west-1-66bdf4dbc6-z4cl5,istio-proxy,485,84
default,checkoutservice-us-central-1-79c5548b84-9ft86,server,125,10
default,checkoutservice-us-central-1-79c5548b84-9ft86,istio-proxy,276,81
default,checkoutservice-us-central-1-79c5548b84-nnsqh,server,159,11
default,checkoutservice-us-central-1-79c5548b84-nnsqh,istio-proxy,309,85
default,checkoutservice-us-central-1-79c5548b84-q5bf2,server,109,12
default,checkoutservice-us-central-1-79c5548b84-q5bf2,istio-proxy,225,82
default,checkoutservice-us-east-1-86b774b68-b6wgp,server,57,11
default,checkoutservice-us-east-1-86b774b68-b6wgp,istio-proxy,243,82
default,checkoutservice-us-east-1-86b774b68-kxtrn,server,157,11
default,checkoutservice-us-east-1-86b774b68-kxtrn,istio-proxy,289,82
default,checkoutservice-us-east-1-86b774b68-tfvk7,server,157,11
default,checkoutservice-us-east-1-86b774b68-tfvk7,istio-proxy,278,81
default,checkoutservice-us-south-1-f575f8468-dnsxh,server,169,11
default,checkoutservice-us-south-1-f575f8468-dnsxh,istio-proxy,408,82
default,checkoutservice-us-south-1-f575f8468-fvzhs,server,152,11
default,checkoutservice-us-south-1-f575f8468-fvzhs,istio-proxy,409,81
default,checkoutservice-us-south-1-f575f8468-wdxv8,server,218,11
default,checkoutservice-us-south-1-f575f8468-wdxv8,istio-proxy,168,82
default,checkoutservice-us-west-1-7dfb77f4c6-dh8n6,server,301,12
default,checkoutservice-us-west-1-7dfb77f4c6-dh8n6,istio-proxy,584,85
default,checkoutservice-us-west-1-7dfb77f4c6-l4mt8,server,295,13
default,checkoutservice-us-west-1-7dfb77f4c6-l4mt8,istio-proxy,681,85
default,checkoutservice-us-west-1-7dfb77f4c6-stbrj,server,297,11
default,checkoutservice-us-west-1-7dfb77f4c6-stbrj,istio-proxy,746,83
default,currencyservice-us-central-1-69fd8b964d-62kjs,server,105,26
default,currencyservice-us-central-1-69fd8b964d-62kjs,istio-proxy,62,84
default,currencyservice-us-central-1-69fd8b964d-7gfzq,server,115,26
default,currencyservice-us-central-1-69fd8b964d-7gfzq,istio-proxy,69,83
default,currencyservice-us-central-1-69fd8b964d-s9vgh,server,114,26
default,currencyservice-us-central-1-69fd8b964d-s9vgh,istio-proxy,28,82
default,currencyservice-us-east-1-76659b658f-65wh9,server,51,21
default,currencyservice-us-east-1-76659b658f-65wh9,istio-proxy,68,84
default,currencyservice-us-east-1-76659b658f-dhrmx,server,114,28
default,currencyservice-us-east-1-76659b658f-dhrmx,istio-proxy,49,83
default,currencyservice-us-east-1-76659b658f-xzwq5,server,89,25
default,currencyservice-us-east-1-76659b658f-xzwq5,istio-proxy,73,82
default,currencyservice-us-south-1-5fc9bc4f77-7vx4s,server,143,27
default,currencyservice-us-south-1-5fc9bc4f77-7vx4s,istio-proxy,42,82
default,currencyservice-us-south-1-5fc9bc4f77-bw42n,server,158,28
default,currencyservice-us-south-1-5fc9bc4f77-bw42n,istio-proxy,105,83
default,currencyservice-us-south-1-5fc9bc4f77-c9djs,server,186,27
default,currencyservice-us-south-1-5fc9bc4f77-c9djs,istio-proxy,56,82
default,currencyservice-us-west-1-6c778dffc7-bzjvb,server,277,32
default,currencyservice-us-west-1-6c778dffc7-bzjvb,istio-proxy,162,82
default,currencyservice-us-west-1-6c778dffc7-hz94m,server,249,33
default,currencyservice-us-west-1-6c778dffc7-hz94m,istio-proxy,149,81
default,currencyservice-us-west-1-6c778dffc7-qbbs6,server,246,30
default,currencyservice-us-west-1-6c778dffc7-qbbs6,istio-proxy,190,83
default,emailservice-us-central-1-d96cbd547-8tntc,server,41,41
default,emailservice-us-central-1-d96cbd547-8tntc,istio-proxy,32,84
default,emailservice-us-central-1-d96cbd547-jn2qq,server,59,41
default,emailservice-us-central-1-d96cbd547-jn2qq,istio-proxy,35,85
