,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,frontend,a,us-east-1,us-east-1,49,49,1.0
1,1,frontend,a,us-west-1,us-west-1,267,267,1.0
2,1,b,c,us-east-1,us-east-1,-1,-1,1.0
3,1,c,d,us-east-1,us-east-1,-1,-1,1.0
4,1,a,b,us-east-1,us-east-1,-1,-1,1.0
5,1,b,c,us-west-1,us-west-1,-1,-1,1.0
6,1,c,d,us-west-1,us-west-1,-1,-1,1.0
7,1,a,b,us-west-1,us-west-1,-1,-1,1.0
0,2,frontend,a,us-east-1,us-east-1,111,111,1.0
1,2,frontend,a,us-west-1,us-west-1,423,423,1.0
2,2,b,c,us-east-1,us-east-1,-1,-1,1.0
3,2,c,d,us-east-1,us-east-1,-1,-1,1.0
4,2,a,b,us-east-1,us-east-1,-1,-1,1.0
5,2,b,c,us-west-1,us-west-1,-1,-1,1.0
6,2,c,d,us-west-1,us-west-1,-1,-1,1.0
7,2,a,b,us-west-1,us-west-1,-1,-1,1.0
0,3,frontend,a,us-east-1,us-east-1,100,100,1.0
1,3,frontend,a,us-west-1,us-west-1,285,285,1.0
2,3,b,c,us-east-1,us-east-1,-1,-1,1.0
3,3,c,d,us-east-1,us-east-1,-1,-1,1.0
4,3,a,b,us-east-1,us-east-1,-1,-1,1.0
5,3,b,c,us-west-1,us-west-1,-1,-1,1.0
6,3,c,d,us-west-1,us-west-1,-1,-1,1.0
7,3,a,b,us-west-1,us-west-1,-1,-1,1.0
0,4,frontend,a,us-east-1,us-east-1,101,101,1.0
1,4,frontend,a,us-west-1,us-west-1,441,441,1.0
2,4,b,c,us-east-1,us-east-1,-1,-1,1.0
3,4,c,d,us-east-1,us-east-1,-1,-1,1.0
4,4,a,b,us-east-1,us-east-1,-1,-1,1.0
5,4,b,c,us-west-1,us-west-1,-1,-1,1.0
6,4,c,d,us-west-1,us-west-1,-1,-1,1.0
7,4,a,b,us-west-1,us-west-1,-1,-1,1.0
0,5,frontend,a,us-east-1,us-east-1,110,110,1.0
1,5,frontend,a,us-west-1,us-west-1,334,334,1.0
2,5,b,c,us-east-1,us-east-1,-1,-1,1.0
3,5,c,d,us-east-1,us-east-1,-1,-1,1.0
4,5,a,b,us-east-1,us-east-1,-1,-1,1.0
5,5,b,c,us-west-1,us-west-1,-1,-1,1.0
6,5,c,d,us-west-1,us-west-1,-1,-1,1.0
7,5,a,b,us-west-1,us-west-1,-1,-1,1.0
0,6,frontend,a,us-east-1,us-east-1,129,129,1.0
1,6,frontend,a,us-west-1,us-west-1,500,674,0.7418397626112759
2,6,frontend,a,us-west-1,us-east-1,174,674,0.258160237388724
3,6,b,c,us-east-1,us-east-1,-1,-1,1.0
4,6,c,d,us-east-1,us-east-1,-1,-1,1.0
5,6,a,b,us-east-1,us-east-1,-1,-1,1.0
6,6,b,c,us-west-1,us-west-1,-1,-1,1.0
7,6,c,d,us-west-1,us-west-1,-1,-1,1.0
8,6,a,b,us-west-1,us-west-1,-1,-1,1.0
0,7,frontend,a,us-east-1,us-east-1,88,88,1.0
1,7,frontend,a,us-west-1,us-west-1,500,588,0.8503401360544217
2,7,frontend,a,us-west-1,us-east-1,88,588,0.14965986394557823
3,7,b,c,us-east-1,us-east-1,-1,-1,1.0
4,7,c,d,us-east-1,us-east-1,-1,-1,1.0
