,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,1,frontend,a,us-central-1,us-south-1,100,165,0.6060606060606061
1,1,frontend,a,us-central-1,us-west-1,65,165,0.3939393939393939
2,1,c,d,us-central-1,us-central-1,-1,-1,1.0
3,1,a,b,us-central-1,us-central-1,-1,-1,1.0
4,1,b,c,us-central-1,us-central-1,-1,-1,1.0
5,1,c,d,us-south-1,us-south-1,-1,-1,1.0
6,1,a,b,us-south-1,us-south-1,-1,-1,1.0
7,1,b,c,us-south-1,us-south-1,-1,-1,1.0
8,1,c,d,us-east-1,us-east-1,-1,-1,1.0
9,1,a,b,us-east-1,us-east-1,-1,-1,1.0
10,1,b,c,us-east-1,us-east-1,-1,-1,1.0
11,1,c,d,us-west-1,us-west-1,-1,-1,1.0
12,1,a,b,us-west-1,us-west-1,-1,-1,1.0
13,1,b,c,us-west-1,us-west-1,-1,-1,1.0
0,2,frontend,a,us-central-1,us-south-1,100,208,0.4807692307692308
1,2,frontend,a,us-central-1,us-west-1,100,208,0.4807692307692308
2,2,frontend,a,us-central-1,us-east-1,8,208,0.038461538461538464
3,2,frontend,a,us-east-1,us-south-1,0,60,0.0
4,2,frontend,a,us-east-1,us-central-1,60,60,1.0
5,2,c,d,us-central-1,us-central-1,-1,-1,1.0
6,2,a,b,us-central-1,us-central-1,-1,-1,1.0
7,2,b,c,us-central-1,us-central-1,-1,-1,1.0
8,2,c,d,us-south-1,us-south-1,-1,-1,1.0
9,2,a,b,us-south-1,us-south-1,-1,-1,1.0
10,2,b,c,us-south-1,us-south-1,-1,-1,1.0
11,2,c,d,us-east-1,us-east-1,-1,-1,1.0
12,2,a,b,us-east-1,us-east-1,-1,-1,1.0
13,2,b,c,us-east-1,us-east-1,-1,-1,1.0
14,2,c,d,us-west-1,us-west-1,-1,-1,1.0
15,2,a,b,us-west-1,us-west-1,-1,-1,1.0
16,2,b,c,us-west-1,us-west-1,-1,-1,1.0
0,3,frontend,a,us-central-1,us-south-1,100,216,0.46296296296296297
1,3,frontend,a,us-central-1,us-west-1,100,216,0.46296296296296297
2,3,frontend,a,us-central-1,us-east-1,16,216,0.07407407407407407
3,3,frontend,a,us-south-1,us-central-1,18,18,1.0
4,3,frontend,a,us-east-1,us-south-1,0,107,0.0
5,3,frontend,a,us-east-1,us-central-1,82,107,0.7663551401869159
6,3,frontend,a,us-east-1,us-west-1,0,107,0.0
7,3,c,d,us-central-1,us-central-1,-1,-1,1.0
8,3,a,b,us-central-1,us-central-1,-1,-1,1.0
9,3,b,c,us-central-1,us-central-1,-1,-1,1.0
10,3,c,d,us-south-1,us-south-1,-1,-1,1.0
11,3,a,b,us-south-1,us-south-1,-1,-1,1.0
12,3,b,c,us-south-1,us-south-1,-1,-1,1.0
13,3,c,d,us-east-1,us-east-1,-1,-1,1.0
14,3,a,b,us-east-1,us-east-1,-1,-1,1.0
15,3,b,c,us-east-1,us-east-1,-1,-1,1.0
16,3,c,d,us-west-1,us-west-1,-1,-1,1.0
17,3,a,b,us-west-1,us-west-1,-1,-1,1.0
18,3,b,c,us-west-1,us-west-1,-1,-1,1.0
0,4,frontend,a,us-central-1,us-south-1,107,210,0.5095238095238095
1,4,frontend,a,us-central-1,us-west-1,103,210,0.49047619047619045
2,4,frontend,a,us-south-1,us-central-1,107,113,0.9469026548672567
3,4,frontend,a,us-south-1,us-east-1,6,113,0.05309734513274336
4,4,frontend,a,us-east-1,us-south-1,0,102,0.0
5,4,frontend,a,us-east-1,us-central-1,0,102,0.0
6,4,frontend,a,us-east-1,us-west-1,4,102,0.0392156862745098
7,4,c,d,us-central-1,us-central-1,-1,-1,1.0
8,4,a,b,us-central-1,us-central-1,-1,-1,1.0
9,4,b,c,us-central-1,us-central-1,-1,-1,1.0
10,4,c,d,us-south-1,us-south-1,-1,-1,1.0
11,4,a,b,us-south-1,us-south-1,-1,-1,1.0
