,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,2,b,c,us-east-1,us-east-1,95,95,1.0
1,2,b,c,us-west-1,us-west-1,400,579,0.690846286701209
2,2,b,c,us-west-1,us-east-1,179,579,0.30915371329879104
3,2,a,b,us-east-1,us-east-1,-1,-1,1.0
4,2,c,d,us-east-1,us-east-1,-1,-1,1.0
5,2,frontend,a,us-east-1,us-east-1,-1,-1,1.0
6,2,a,b,us-west-1,us-west-1,-1,-1,1.0
7,2,c,d,us-west-1,us-west-1,-1,-1,1.0
8,2,frontend,a,us-west-1,us-west-1,-1,-1,1.0
0,5,b,c,us-east-1,us-east-1,101,101,1.0
1,5,b,c,us-west-1,us-west-1,400,695,0.5755395683453237
2,5,b,c,us-west-1,us-east-1,295,695,0.4244604316546763
3,5,a,b,us-east-1,us-east-1,-1,-1,1.0
4,5,c,d,us-east-1,us-east-1,-1,-1,1.0
5,5,frontend,a,us-east-1,us-east-1,-1,-1,1.0
6,5,a,b,us-west-1,us-west-1,-1,-1,1.0
7,5,c,d,us-west-1,us-west-1,-1,-1,1.0
8,5,frontend,a,us-west-1,us-west-1,-1,-1,1.0
0,7,b,c,us-east-1,us-east-1,92,92,1.0
1,7,b,c,us-west-1,us-west-1,400,692,0.5780346820809249
2,7,b,c,us-west-1,us-east-1,292,692,0.42196531791907516
3,7,a,b,us-east-1,us-east-1,-1,-1,1.0
4,7,c,d,us-east-1,us-east-1,-1,-1,1.0
5,7,frontend,a,us-east-1,us-east-1,-1,-1,1.0
6,7,a,b,us-west-1,us-west-1,-1,-1,1.0
7,7,c,d,us-west-1,us-west-1,-1,-1,1.0
8,7,frontend,a,us-west-1,us-west-1,-1,-1,1.0
0,8,b,c,us-east-1,us-east-1,101,101,1.0
1,8,b,c,us-west-1,us-west-1,400,650,0.6153846153846154
2,8,b,c,us-west-1,us-east-1,250,650,0.38461538461538464
3,8,a,b,us-east-1,us-east-1,-1,-1,1.0
