Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-76866f4c7c-869pd,server,3,147
default,adservice-us-central-1-76866f4c7c-869pd,istio-proxy,6,83
default,adservice-us-central-1-76866f4c7c-dm7sg,server,0,143
default,adservice-us-central-1-76866f4c7c-dm7sg,istio-proxy,7,84
default,adservice-us-central-1-76866f4c7c-qfkc9,server,2,148
default,adservice-us-central-1-76866f4c7c-qfkc9,istio-proxy,3,83
default,adservice-us-east-1-65df454fbb-2sh4f,server,3,148
default,adservice-us-east-1-65df454fbb-2sh4f,istio-proxy,6,84
default,adservice-us-east-1-65df454fbb-bz5dm,server,2,150
default,adservice-us-east-1-65df454fbb-bz5dm,istio-proxy,3,82
default,adservice-us-east-1-65df454fbb-qf97w,server,3,143
default,adservice-us-east-1-65df454fbb-qf97w,istio-proxy,5,82
default,adservice-us-south-1-7974f7b76-k577z,server,2,146
default,adservice-us-south-1-7974f7b76-k577z,istio-proxy,5,84
default,adservice-us-south-1-7974f7b76-lvjch,server,2,147
default,adservice-us-south-1-7974f7b76-lvjch,istio-proxy,6,83
default,adservice-us-south-1-7974f7b76-rb8nr,server,4,148
default,adservice-us-south-1-7974f7b76-rb8nr,istio-proxy,4,85
default,adservice-us-west-1-8cd5b7bcd-gccrc,server,2,148
default,adservice-us-west-1-8cd5b7bcd-gccrc,istio-proxy,5,84
default,adservice-us-west-1-8cd5b7bcd-hzd7p,server,3,145
default,adservice-us-west-1-8cd5b7bcd-hzd7p,istio-proxy,6,86
default,adservice-us-west-1-8cd5b7bcd-m245x,server,4,148
default,adservice-us-west-1-8cd5b7bcd-m245x,istio-proxy,5,81
default,cartservice-us-central-1-864fc77c6c-9j2xq,server,113,50
default,cartservice-us-central-1-864fc77c6c-9j2xq,istio-proxy,69,89
default,cartservice-us-central-1-864fc77c6c-jlv5l,server,115,47
default,cartservice-us-central-1-864fc77c6c-jlv5l,istio-proxy,73,83
default,cartservice-us-central-1-864fc77c6c-rmdbx,server,101,47
default,cartservice-us-central-1-864fc77c6c-rmdbx,istio-proxy,75,83
default,cartservice-us-east-1-55b4d9977-4jpfn,server,288,77
default,cartservice-us-east-1-55b4d9977-4jpfn,istio-proxy,196,84
default,cartservice-us-east-1-55b4d9977-7cwmn,server,287,77
default,cartservice-us-east-1-55b4d9977-7cwmn,istio-proxy,199,84
default,cartservice-us-east-1-55b4d9977-xxtbk,server,367,65
default,cartservice-us-east-1-55b4d9977-xxtbk,istio-proxy,206,84
default,cartservice-us-south-1-7bd654b5c9-cnknl,server,454,91
default,cartservice-us-south-1-7bd654b5c9-cnknl,istio-proxy,335,88
default,cartservice-us-south-1-7bd654b5c9-flwv7,server,487,83
default,cartservice-us-south-1-7bd654b5c9-flwv7,istio-proxy,335,85
default,cartservice-us-south-1-7bd654b5c9-v5vsf,server,471,114
default,cartservice-us-south-1-7bd654b5c9-v5vsf,istio-proxy,348,86
